"age","status","sex","orientation","body_type","diet","drinks","drugs","education","ethnicity","height","job","location","smokes"
22,"single","m","straight","a little extra","strictly anything","socially","never","working on college/university","asian, white",75,"transportation","south san francisco, california","sometimes"
35,"single","m","straight","average","mostly other","often","sometimes","working on space camp","white",70,"hospitality / travel","oakland, california","no"
31,"single","f","straight","average","mostly anything","socially","never","graduated from college/university","white",65,"artistic / musical / writer","san francisco, california","no"
37,"single","m","straight","athletic","mostly anything","not at all","never","working on two-year college","white",65,"student","san mateo, california","no"
28,"seeing someone","m","straight","average","mostly anything","socially","never","graduated from college/university","white",72,"banking / financial / real estate","daly city, california","no"
30,"single","f","straight","skinny","mostly anything","socially","never","graduated from high school","white",66,"sales / marketing / biz dev","san francisco, california","no"
29,"single","f","straight","thin","mostly anything","socially","never","working on college/university","hispanic / latin, white",62,"other","san leandro, california","no"
31,"single","m","straight","average","mostly vegetarian","rarely","never","graduated from space camp","white",71,"medicine / health","san francisco, california","no"
33,"single","m","straight","athletic","mostly anything","socially","never","graduated from masters program","white",72,"science / tech / engineering","san francisco, california","no"
27,"single","f","straight","average","mostly anything","socially","never","graduated from college/university","white",67,"sales / marketing / biz dev","san francisco, california","no"
30,"single","m","straight","fit","mostly anything","socially","never","graduated from college/university","white",69,"executive / management","san francisco, california","no"
30,"single","m","straight","thin","strictly vegan","not at all","never","graduated from college/university","white",71,"education / academia","san francisco, california","no"
33,"single","m","straight","thin","strictly anything","socially","sometimes","graduated from college/university","white",73,"artistic / musical / writer","oakland, california","sometimes"
28,"single","m","straight","fit","anything","rarely","never","graduated from college/university","asian, white",70,"medicine / health","atherton, california","no"
22,"single","m","straight","fit","mostly anything","socially","never","working on college/university","pacific islander, white",72,"clerical / administrative","san francisco, california","trying to quit"
38,"single","f","straight","average","mostly anything","socially","never","graduated from college/university","white",67,"computer / hardware / software","san leandro, california","no"
27,"single","m","straight","thin","strictly anything","socially","never","graduated from college/university","white",69,"entertainment / media","san francisco, california","when drinking"
32,"single","m","straight","athletic","mostly anything","socially","never","graduated from college/university","white",69,"science / tech / engineering","san francisco, california","when drinking"
30,"single","m","straight","average","strictly anything","often","sometimes","graduated from masters program","white",75,"artistic / musical / writer","berkeley, california","no"
29,"single","f","bisexual","curvy","anything","socially","sometimes","graduated from masters program","white",66,"other","san francisco, california","no"
26,"single","f","straight","athletic","mostly anything","socially","never","graduated from college/university","white",66,"science / tech / engineering","belmont, california","no"
33,"single","m","straight","fit","mostly anything","rarely","never","graduated from college/university","white",69,"computer / hardware / software","menlo park, california","no"
33,"single","m","gay","athletic","anything","socially","never","graduated from college/university","white",70,"medicine / health","san francisco, california","no"
31,"seeing someone","m","straight","fit","mostly anything","socially","never","working on college/university","asian, pacific islander",67,"computer / hardware / software","san francisco, california","no"
31,"single","m","straight","thin","strictly anything","socially","sometimes","graduated from masters program","white",70,"rather not say","san francisco, california","when drinking"
28,"single","m","straight","athletic","anything","socially","never","graduated from college/university","hispanic / latin",72,"political / government","san francisco, california","no"
29,"single","m","straight","fit","mostly vegetarian","socially","never","graduated from ph.d program","white",68,"science / tech / engineering","san francisco, california","no"
22,"single","m","straight","athletic","mostly anything","rarely","never","working on college/university","asian",65,"education / academia","san jose, california","no"
35,"single","m","straight","athletic","mostly anything","socially","sometimes","graduated from space camp","native american, white",73,"artistic / musical / writer","emeryville, california","no"
31,"single","f","straight","curvy","mostly anything","socially","never","graduated from law school","indian",61,"law / legal services","oakland, california","no"
34,"single","f","straight","curvy","mostly anything","socially","never","graduated from college/university","white",67,"sales / marketing / biz dev","san francisco, california","no"
21,"single","m","straight","fit","mostly anything","rarely","never","working on college/university","white",71,"entertainment / media","san francisco, california","no"
34,"single","m","straight","fit","anything","socially","never","graduated from masters program","white",69,"executive / management","san francisco, california","no"
24,"single","m","straight","average","anything","socially","never","graduated from college/university","black",74,"sales / marketing / biz dev","san francisco, california","yes"
29,"single","m","straight","fit","mostly anything","socially","sometimes","graduated from college/university","white",67,"artistic / musical / writer","san francisco, california","no"
31,"single","f","straight","curvy","anything","socially","sometimes","graduated from masters program","white",66,"executive / management","san francisco, california","no"
41,"single","m","straight","athletic","mostly anything","socially","often","working on space camp","white",69,"education / academia","fairfax, california","no"
31,"single","f","straight","thin","anything","socially","never","graduated from masters program","white",63,"other","san francisco, california","no"
42,"single","f","straight","fit","mostly anything","socially","never","graduated from masters program","white",65,"education / academia","mountain view, california","no"
45,"single","f","straight","fit","mostly anything","socially","never","graduated from masters program","asian",64,"executive / management","menlo park, california","no"
21,"single","m","straight","athletic","mostly anything","rarely","never","working on med school","white",72,"medicine / health","burlingame, california","no"
29,"single","m","straight","fit","strictly anything","socially","never","graduated from college/university","white",66,"other","martinez, california","no"
23,"single","f","straight","curvy","mostly anything","rarely","never","working on college/university","black, native american, hispanic / latin",66,"other","san francisco, california","when drinking"
36,"seeing someone","m","straight","fit","strictly anything","often","sometimes","graduated from ph.d program","white",70,"science / tech / engineering","emeryville, california","no"
50,"single","m","straight","fit","mostly anything","socially","never","graduated from two-year college","white",75,"unemployed","vallejo, california","no"
23,"single","m","straight","athletic","anything","socially","sometimes","graduated from space camp","white",66,"artistic / musical / writer","san francisco, california","trying to quit"
21,"single","m","straight","thin","strictly anything","socially","often","working on space camp","hispanic / latin, white",70,"medicine / health","san francisco, california","sometimes"
27,"single","f","bisexual","curvy","mostly anything","socially","never","graduated from college/university","white",62,"medicine / health","san francisco, california","no"
39,"single","f","straight","average","anything","rarely","never","graduated from masters program","white",68,"education / academia","san francisco, california","no"
22,"single","m","straight","athletic","strictly anything","socially","never","working on ph.d program","white",68,"student","berkeley, california","no"
50,"single","m","straight","average","mostly anything","often","never","college/university","white",73,"transportation","benicia, california","no"
59,"single","m","straight","fit","anything","socially","never","graduated from masters program","white",73,"other","daly city, california","no"
